start_date,end_date,album,volume,english_name,year,uuid
1990-01-05,1990-05-09,1990_S,,University Hall Suggestion Book 1/90,1990,
1991-04-25,1991-12-28,1991_S,,University Hall Suggestion Book 25/4/91,1991,
1992-01-06,1992-06-19,1992_S,,University Hall Suggestiokn Book JAN.92,1992,
1993-10-24,1994-01-19,1993_S,,University Hall Suggestiokn Book OCT.93,1994,
1994-09-26,1994-11-24,1994_S,,University Hall U.H.S.A Communication Book 26/9/94,1994,
1998-12-28,1999-02-02,1998_Vol.18,18.0,University Hall U.H.S.A Communication Book Vol.18 DEC 28.98,1999,
1999-02-03,1999-03-12,1999_Vol.19,19.0,University Hall U.H.S.A Communication Book Vol.19 FEB.3.99,1999,
1999-03-12,1999-05-10,1999_Vol.20,20.0,University Hall U.H.S.A Communication Book Vol.20 MAR.12.99,1999,
1999-05-12,1999-08-03,1999_Vol.21,21.0,University Hall U.H.S.A Communication Book Vol.21 MAY 12.99,1999,
1999-08-16,1999-10-03,1999_Vol.22,22.0,University Hall U.H.S.A Communication Book Vol.22 AUG.16.99,1999,
1999-10-01,1999-11-04,1999_Vol.23,23.0,University Hall U.H.S.A Communication Book Vol.23 OCT.1.99,1999,
1999-11-04,1999-12-15,1999_Vol.24,24.0,University Hall U.H.S.A Communication Book Vol.24 NOV.4.99,1999,
2000-02-02,2000-03-12,2000_Vol.26,26.0,University Hall U.H.S.A Communication Book Vol.26 FEB.2.2000,2000,
2000-03-12,2000-04-09,2000_Vol.27,27.0,University Hall U.H.S.A Communication Book Vol.27 MAR.12.2000,2000,
2001-06-21,2001-08-23,2001_Vol.37,37.0,University Hall U.H.S.A Communication Book Vol.37 JUN.21.2001,2001,
2001-08-20,2001-09-21,2001_Vol.38,38.0,University Hall U.H.S.A Communication Book Vol.38 AUG.20.2001,2001,
2001-09-23,2001-10-16,2001_Vol.39,39.0,University Hall U.H.S.A Communication Book Vol.39 SEP.23.2001,2001,
2001-10-17,2001-11-09,2001_Vol.40,40.0,University Hall U.H.S.A Communication Book Vol.40 OCT.17.2001,2001,
2001-11-10,2001-12-14,2001_Vol.41,41.0,University Hall U.H.S.A Communication Book Vol.41 NOV.10.2001,2001,
2001-12-14,2002-01-27,2001_Vol.42,42.0,University Hall U.H.S.A Communication Book Vol.42 DEC.14.2001,2002,
2002-01-27,2002-03-05,2002_Vol.43,43.0,University Hall U.H.S.A Communication Book Vol.43 JAN.27.2002,2002,
2002-03-05,2002-03-28,2002_Vol.44,44.0,University Hall U.H.S.A Communication Book Vol.44 MAR.5.2002,2002,
2002-03-29,2002-04-22,2002_Vol.45,45.0,University Hall U.H.S.A Communication Book Vol.45 MAR.29.2002,2002,
2002-04-30,2002-06-13,2002_Vol.47,47.0,University Hall U.H.S.A Communication Book Vol.47 APR.30.2002,2002,
2002-06-13,2002-07-19,2002_Vol.48,48.0,University Hall U.H.S.A Communication Book Vol.48 JUN.13.2002,2002,
2002-07-19,2002-09-18,2002_Vol.49,49.0,University Hall U.H.S.A Communication Book Vol.49 July 19.2002,2002,
2002-09-19,2002-10-07,2002_Vol.50,50.0,University Hall U.H.S.A Communication Book Vol.50 SEP.19.2002,2002,
2002-10-08,2002-10-27,2002_Vol.51,51.0,University Hall U.H.S.A Communication Book Vol.51 OCT.8.2002,2002,
2002-10-28,2002-11-13,2002_Vol.52,52.0,University Hall U.H.S.A Communication Book Vol.52 OCT.28.2002,2002,
2002-11-14,2002-12-12,2002_Vol.53,53.0,University Hall U.H.S.A Communication Book Vol.53 NOV.14.2002,2002,
2002-12-10,2003-01-27,2002_Vol.54,54.0,University Hall U.H.S.A Communication Book Vol.54 DEC.10.2002,2003,
2003-01-28,2003-03-04,2003_Vol.55,55.0,University Hall U.H.S.A Communication Book Vol.55 JAN.28.2003,2003,
2003-03-04,2003-03-28,2003_Vol.56,56.0,University Hall U.H.S.A Communication Book Vol.56 MAR.4.2003,2003,
2003-03-29,2003-05-11,2003_Vol.57,57.0,University Hall U.H.S.A Communication Book Vol.57 MAR 29.2003,2003,
2003-05-07,2003-06-05,2005_Vol.58,58.0,University Hall U.H.S.A Communication Book Vol.58 MAY.7.2003,2003,
2003-06-05,2003-07-21,2003_Vol.59,59.0,University Hall U.H.S.A Communication Book Vol.59 JUN.5.2003,2003,
2003-07-23,2003-09-15,2003_Vol.60,60.0,University Hall U.H.S.A Communication Book Vol.60 JULY 23.2003,2003,
2003-09-16,2003-10-03,2003_Vol.61,61.0,University Hall U.H.S.A Communication Book Vol.61 Sep.16.2003,2003,
2003-10-05,2003-10-29,2003_Vol.62,62.0,University Hall U.H.S.A Communication Book Vol.62 OCT.5.2003,2003,
2003-10-29,2003-11-20,2003_Vol.63,63.0,University Hall U.H.S.A Communication Book Vol.63 OCT.29.2003,2003,
2003-11-21,2004-01-31,2004_Vol.64,64.0,University Hall U.H.S.A Communication Book Vol.64 NOV.21.2003,2004,
2004-02-01,2004-03-07,2004_Vol.65,65.0,University Hall U.H.S.A Communication Book Vol.65 FEB.1.2004,2004,
2004-03-08,2004-04-06,2004-Vol.66,66.0,University Hall U.H.S.A Communication Book Vol.66 MAR.8.2004,2004,
2004-04-06,2004-04-29,2004_Vol.67,67.0,University Hall U.H.S.A Communication Book Vol.67 April.6.04,2004,
2004-04-30,2004-06-24,2004_Vol.68,68.0,University Hall U.H.S.A Communication Book Vol.68 April.20.2004,2004,
2004-06-27,2004-09-15,2004_Vol.69,69.0,University Hall U.H.S.A Communication Book Vol.69 JUNE.27.2004,2004,
2004-09-16,2004-10-07,2004_Vol.70,70.0,University Hall U.H.S.A Communication Book Vol.70 SEPT.16.2004`,2004,
2004-10-08,2004-10-31,2004_Vol.71,71.0,University Hall U.H.S.A Communication Book Vol. 71 OCT.8.2004,2004,
2004-11-01,2004-11-28,2004_Vol.72,72.0,University Hall U.H.S.A Communication Book Vol.72 NOV.1.2004,2004,
2004-11-30,2005-01-21,2004_Vol.73,73.0,University Hall U.H.S.A Communication Book Vol.73 NOV.30.2004,2005,
2005-01-27,2005-02-27,2005_Vol.74,74.0,University Hall U.H.S.A Communication Book Vol.74 JAN.20.2005,2005,
2005-02-28,2005-03-14,2005_Vol.75,75.0,University Hall U.H.S.A Communication Book Vol.75 FEB.28.2005,2005,
2005-03-14,2005-04-06,2005_Vol.76,76.0,University Hall U.H.S.A Communication Book Vol.76 MAR.14.2005,2005,
2005-04-06,2005-05-29,2005_Vol.77,77.0,University Hall U.H.S.A Communication Book Vol.77 APR.6.2005,2005,
2005-05-30,2005-08-19,2005_Vol.78,78.0,University Hall U.H.S.A Communication Book Vol.78 MAY.30.2005,2005,
2005-08-21,2005-09-29,2005_Vol.79,79.0,University Hall U.H.S.A Communication Book Vol.79 AUG.21.2005,2005,
2005-09-30,2005-10-30,2005_Vol.80,80.0,University Hall U.H.S.A Communication Book Vol.80 Sep.30.2005,2005,
2005-10-30,2005-12-31,2005_Vol.81,81.0,University Hall U.H.S.A Communication Book Vol.81 OCT.30.2005,2005,
2006-01-01,2006-02-28,2006_Vol.82,82.0,University Hall U.H.S.A Communication Book Vol.82 JAN.1.2006,2006,
2006-03-01,2006-04-08,2006_Vol.83,83.0,University Hall U.H.S.A Communication Book Vol.83 MAR.1.2006,2006,
2006-04-08,2006-06-10,2006_Vol.84,84.0,University Hall U.H.S.A Communication Book Vol.84  Apr 8.2006,2006,
2006-06-04,2006-09-29,2006_Vol.85,85.0,University Hall U.H.S.A Communication Book Vol.85 JUN.4.2006,2006,
2006-10-01,2006-11-29,2006_Vol.86,86.0,University Hall U.H.S.A Communication Book Vol.86 OCT.1.2006,2006,
2006-11-30,2007-03-11,2006_Vol.87,87.0,University Hall U.H.S.A Communication Book Vol.87 NOV.30.2006,2007,
2007-03-12,2007-05-23,2007_Vol.88,88.0,University Hall U.H.S.A Communication Book Vol.88 MAR.12.07,2007,
2007-05-22,2007-09-24,2007_Vol.89,89.0,University Hall U.H.S.A Communication Book Vol.89 MAY.22.2007,2007,
2007-09-24,2007-12-03,2007_Vol.90,90.0,University Hall U.H.S.A Communication Book Vol.90 SEP.24.2007,2007,
2007-12-03,2008-03-12,2007_Vol.91,91.0,University Hall U.H.S.A Communication Book Vol.91 DEC.3.2007,2008,
2008-03-14,2008-06-26,2008_Vol.92,92.0,University Hall U.H.S.A Communication Book Vol.92 MAR.14.2008,2008,
2008-06-26,2008-11-18,2008_Vol.93,93.0,University Hall U.H.S.A Communication Book Vol.93 JUNE.26.2008,2008,
2008-11-22,2008-04-01,2008_Vol.94,94.0,University Hall U.H.S.A Communication Book Vol.94 NOV.22.2008,2008,
2009-04-01,2009-07-26,2009_Vol.95,95.0,University Hall U.H.S.A Communication Book Vol.95 APR.1 2009,2009,
2009-07-28,2009-10-29,2009_Vol.96,96.0,University Hall U.H.S.A Communication Book Vol.96 JUL.28.2009,2009,
2009-10-29,2010-01-19,2010_Vol.97,97.0,University Hall U.H.S.A Communication Book Vol.97 OCT.29.2009,2010,
2010-01-20,2010-03-17,2010_Vol.98,98.0,University Hall U.H.S.A Communication Book Vol.98 JAN.20.2010,2010,
2010-03-17,2010-05-20,2010_Vol.99,99.0,University Hall U.H.S.A Communication Book Vol.99 MAR.17.2010,2010,
2010-05-10,2011-01-26,2010_Vol.100,100.0,University Hall U.H.S.A Communication Book Vol.100 MAY.10.2010,2011,
2011-01-25,2011-10-17,2011_Vol.101,101.0,University Hall U.H.S.A Communication Book Vol.101 JAN.25.2011,2011,
2011-11-15,2012-05-25,2012_Vol.102,102.0,University Hall U.H.S.A Communication Book Vol.102 NOV.15.2011,2012,
2012-05-24,2013-02-28,2012_Vol.103,103.0,University Hall U.H.S.A Communication Book Vol.103 MAY.24.2012,2013,
2013-03-01,2013-11-22,2013_Vol.104,104.0,University Hall U.H.S.A Communication Book Vol.104 MAY.1.2013,2013,
2013-11-21,2014-05-29,2013_Vol.105,105.0,University Hall U.H.S.A Communication Book Vol.105 NOV.21.2013,2014,
2014-05-12,2015-04-20,2014_Vol.106,106.0,University Hall U.H.S.A Communication Book Vol.106 MAY.12.2014,2015,
2015-04-22,2016-10-27,2015_Vol.107,107.0,University Hall U.H.S.A Communication Book Vol.107 April.22.2015,2016,
2016-10-26,2019-03-16,2016_Vol.108,108.0,University Hall U.H.S.A Communication Book Vol.108 OCT.26.2016,2019,
